t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,1
0.001,0,0,0,0,0,1
0.002,0,0,0,0,0,1
0.003,0,0,0,0,0,1
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,0,0,1
0.006,-0.0653816435015011,6.57543914052667,-6.0465906846501,-0.0720925390861183,-0.301058221548428,1
0.007,-0.775552586479143,5.37129181769024,-2.76312075636675,-0.204546975316202,-0.321156156267,1
0.008,-2.65597272303416,2.96986064395283,-0.475569459015083,-0.0320905041273173,-0.218174271286007,1
0.009,-2.70845916247233,0.925613913173277,0.589561901998623,0.0738856854881955,-0.122615977399912,1
0.01,-1.74742029453876,-0.414900132564207,0.725098042295404,0.0834006417577728,-0.0370455250385109,1
0.011,-0.787887655504479,-0.902146448842014,0.360658790942394,0.0602867209735476,0.0104808076731813,1
0.012,-0.139327973354578,-0.793850743210658,-0.105703154611157,0.0307294662988705,0.0219849303692871,1
0.013,0.166557256216656,-0.437492628494082,-0.443173502239221,0.00524010780641974,0.0137760238330545,1
0.014,0.200725241919721,-0.0800779989632247,-0.584212930163976,-0.00923689361278985,-0.000873087025935124,1
0.015,0.0936963483292505,0.152927962287396,-0.56326732573241,-0.0131204273162696,-0.0131032818381027,1
0.016,-0.0401945743333237,0.240687096869175,-0.454613229875904,-0.0104548717310832,-0.0192774124771427,1
0.017,-0.135965842400746,0.222863182980664,-0.327117228075615,-0.0054221895033625,-0.0197545195629541,1
0.018,-0.174686019754404,0.155565886473284,-0.223234497471923,-0.000930050360575315,-0.0167116943279848,1
0.019,-0.166939287340495,0.0841234701771181,-0.15754813810421,0.00174524166373863,-0.0125015384824559,1
0.02,-0.134454243788692,0.0329924490318063,-0.125515600216059,0.0025860818086782,-0.00876027920608046,1
0.021,-0.0970521983885548,0.00776939336497605,-0.114395617770084,0.00220873945142898,-0.0061967025604705,1
0.022,-0.0667982007950988,0.00265773409316081,-0.111546020990077,0.00133825166369444,-0.00480708845039209,1
0.023,-0.0477070620947508,0.00809275523239535,-0.108566811056584,0.000507547474939177,-0.00422654002940377,1
0.024,-0.0383386622680117,0.0158497111465345,-0.101948427639303,-2.840654609749e-05,-0.00402857607133571,1
0.025,-0.0349626728632397,0.0211533499687561,-0.0917454369267166,-0.000240939677147794,-0.0038969311351578,1
0.026,-0.0339305593955185,0.0225652793228982,-0.0797094265925526,-0.000224803693360903,-0.00367467813502547,1
0.027,-0.0328427857470645,0.0207950440892725,-0.0677842725058396,-0.000104566075681358,-0.00333513405360717,1
0.028,-0.0307138426416889,0.0173751528560311,-0.057293706979339,2.25191415656516e-05,-0.00292337298254515,1
0.029,-0.0275776907834292,0.0137180447935571,-0.0487515248284297,0.000105894227393838,-0.0025028105731059,1
0.03,-0.0239462512049855,0.0106852153042203,-0.0420478936724705,0.00013555117918008,-0.00212245425168328,1
0.031,-0.0203779634088694,0.00855969096812881,-0.0367602564411757,0.00012516744057021,-0.00180562704837166,1
0.032,-0.017247934800042,0.00723007924657364,-0.0324203455413438,9.55985782852395e-05,-0.00155327017691212,1
0.033,-0.0146970779363448,0.00641803155140412,-0.0286677872099043,6.41625293721478e-05,-0.00135340871011223,1
0.034,-0.0126880710039183,0.00585000862319526,-0.025294059151097,4.04723035396876e-05,-0.00119046499685554,1
