t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,0,0,1,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.0653816435015012,6.57543914052667,-6.0465906846501,-0.00576740312688946,-0.0240846577238742,0,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,0,0,0,0
0.007,-0.147468701558074,7.50477163425966,-2.1682782484353,-0.0151106265656129,-0.0579649807989484,1,-0.0928527115649383,-0.0928527115649383,7.69029161830916,7.69029161830916,-2.116552812963,-2.116552812963,-0.0720925390861183,0,-0.301058221548428,0
0.008,-0.278509913698037,6.50912541227701,1.68446247062731,-0.0294029572240251,-0.0935205131806271,0,-0.772800379994662,-0.0844522519028352,4.76904127651285,7.08691144894887,1.3012677542158,1.94762945425998,-0.0720925390861183,0,-0.301058221548428,0
0.009,-0.511249517880814,3.94086767690088,4.55040646272727,-0.03921223051133,-0.114266548184915,0,-1.94868321721628,-0.050891903345788,1.07263560470257,5.03046839853407,2.89508246810236,5.27424359400983,-0.117638238177413,0,-0.301058221548428,0
0.01,-0.81920916724741,0.584157971494042,5.7826104070845,-0.0438425030743646,-0.112888597347366,1,-2.4495893636035,-0.0204947554412076,-2.19555236341863,2.07263090692706,2.47316124019732,7.21750829716808,-0.151155727304394,0,-0.301058221548428,0
0.011,-1.16104488712524,-2.61688383144801,5.21027915905544,-0.0416471106543364,-0.0984814547885165,0,-3.11000995055667,-0.0147465863870047,-5.04119659847301,-1.08790705752051,0.285565373994083,7.47631723876627,-0.151155727304394,0.00338535567526739,-0.301058221548428,0.0266621556989954
0.012,-1.46144197807251,-4.89761445192919,3.13231603147952,-0.0256279180456696,-0.0511951726237449,0,-4.23781674730079,-0.0328493436395148,-7.04990184294167,-3.76522170348201,-2.92651615149743,6.13051529779143,-0.151155727304394,0.0776333936545529,-0.269646496542401,0.156626374543671
0.013,-1.57442035735151,-5.59702510605708,0.239930374950723,0.000650918210269534,-0.0146974592124419,1,-4.93618040961722,0.276414629413477,-7.62651775902727,-3.70140881719596,-6.01402020409512,3.593536438355,-0.151155727304394,0.178836600856748,-0.269646496542401,0.19661143842074
0.014,-1.41090427654539,-4.77693805714845,-2.61328447432086,0.0291994867684127,0.0169656467138298,0,-5.56481147128048,0.906489992497312,-6.58299430497714,-2.23746321227687,-8.4552882978356,1.32805068857043,-0.115279062367448,0.203300643206215,-0.269646496542401,0.216968934319705
0.015,-0.983241795412575,-2.76847730099319,-4.68297079812905,0.0459387590970887,0.0274224310438228,0,-5.55621231449675,1.86444788451592,-4.93242448826459,-0.05446487767909,-10.6633530106048,0.0431898707709572,-0.108193410471043,0.21272544452462,-0.230664421036383,0.21304429918219
0.016,-0.443696064170094,-0.253330208160436,-5.50531541913009,0.0626225276952792,0.0221208372565992,1,-5.16961909312005,3.36626658053785,-3.07776846676434,2.87951933557887,-11.099079415206,-0.555540774316303,-0.0982920528432413,0.232160664307811,-0.23468542961123,0.216419540821073
0.017,0.189631443804991,2.07543301561117,-4.99526557234497,0.0682699710251168,0.0163075624588154,1,-4.21760410220977,4.72698923503138,-0.719304634167838,5.14949420477678,-10.5244746341539,-0.122819953411041,-0.108193410471043,0.26040588338193,-0.236321029039953,0.216438435545545
0.018,0.807861963005464,3.73535730082629,-3.39034963467955,0.0344151812496938,-0.00895373464606252,1,-4.02593246641708,5.8799089945773,1.60300254785731,6.55967429812036,-8.6800756439083,1.56820184538363,-0.168263907856527,0.259591962515999,-0.318650781486503,0.216419540821073
0.019,1.04768798998276,4.27731057887492,-1.18402333027541,0.0136823549045883,-0.0305661733395873,0,-4.09080663525582,6.48107234816056,2.2227497256106,7.12384608604289,-6.79511896650512,3.54318873489311,-0.191493677502515,0.249515813184832,-0.329173756879251,0.215770131408763
0.02,1.07730598770677,3.70321023402874,1.00924620578946,-0.00780487136049432,-0.048224559294271,1,-4.01136486948628,6.44938597620672,1.19244803811197,6.31691741682519,-4.46353788069388,5.67418579053201,-0.251901596481555,0.255264078181769,-0.358698632440324,0.210957019514409
