t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,0,0,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.0653816435015012,6.57543914052667,-6.0465906846501,0,0,1,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,0,0,0,0
0.007,-0.0928527115649385,7.69029161830917,-2.116552812963,-0.0206815647977775,-0.00145824818182361,0,-0.0928527115649383,-0.0928527115649383,7.69029161830916,7.69029161830916,-2.116552812963,-2.116552812963,0,0,0,0
0.008,-0.281237065565327,7.07570885071351,1.94464523960645,-0.0400337821634963,0.00153736893506177,1,-0.0844522519028352,-0.0844522519028352,7.08691144894887,7.08691144894887,1.94762945425998,1.94762945425998,-0.146142317999961,0,0,0.0584329085961855
0.009,-0.609487494399425,5.03536776655553,5.26995093066396,-0.0577021664249109,-0.00199777967137347,0,-2.59114255530322,-0.050891903345788,5.03046839853407,5.79258541886189,5.27424359400983,5.48937025758243,-0.254549493529104,0,-0.0255072279386601,0.128875611097248
0.01,-1.07346968832232,2.06669905233135,7.2132316013389,-0.057729212931525,0.000578440672592902,0,-3.74996341833443,-0.0204947554412076,0.985488275437133,3.3301032028866,7.16258276746939,8.01614287328707,-0.258771302935325,0.0170032051723299,-0.213574802089116,0.173646877252887
0.011,-1.51332249689405,-1.0797652790162,7.47243824916057,-0.0527920775169878,0.0120005530700267,0,-4.85184639320836,-0.0147465863870047,-3.40376578461687,1.05082167509698,6.21056457264646,8.76967781991291,-0.263804358548545,0.0922577216665646,-0.248404160963237,0.258087949198274
0.012,-1.88495269104969,-3.6566086596952,6.15777046082002,-0.0291989105130392,0.00754929768077239,1,-6.63383150868859,0.128239527123788,-6.95006408862866,-1.06240856358773,3.15383352973443,8.60747824743941,-0.260271359902148,0.154600785884625,-0.26049500740823,0.247769923866438
0.013,-2.0025526598598,-5.28847548802962,3.68754062388599,0.0378920501386068,0.0150220535173119,0,-8.31299653877611,1.13975529439359,-8.95471700900081,-2.85100681847464,-0.468147972670723,7.7395737113552,-0.15978374576428,0.245177892491905,-0.26774697935509,0.277223234025248
0.014,-1.45838003178813,-5.61549491334859,0.683315049864414,0.0695942409280864,0.00136587352828772,0,-6.966157942534,2.97370385004938,-9.60327321093109,-1.91104971844808,-5.20158105480736,5.14208872697091,-0.101683668613089,0.26038106471991,-0.251455865533488,0.258706894531134
0.015,-0.645241386202509,-4.83299763735753,-2.190119162309,0.0773619087403561,-0.00524949920278872,1,-6.33924644175186,3.93899832915072,-9.04114616112036,-0.809869267257434,-8.82595581839065,2.38998752947148,-0.0828964494422653,0.282276704966075,-0.264353037994759,0.266871874659512
0.016,0.17774401282953,-3.13705702954626,-4.37669566141585,0.094694284774048,-0.00214340977906582,1,-5.4347405577179,4.40794671968455,-6.84239614494295,1.97166294268741,-11.0522696489226,1.83658899503471,-0.0547259273375198,0.307468096096591,-0.223704461356197,0.283074038168837
