t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,0,0,1,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.0653816435015012,6.57543914052667,-6.0465906846501,-0.0082906419949036,-0.0346216954780692,0,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,-0.0720925390861183,0,-0.301058221548428,0
0.007,-0.171363197180072,7.423606641238,-2.19090812645443,-0.0256445674366074,-0.0913262852386168,0,-0.775552586479143,-0.0928527115649383,5.37129181769024,7.69029161830916,-2.76312075636675,-2.116552812963,-0.0720925390861183,0,-0.301058221548428,0
0.008,-0.400800474797564,6.19472853771201,1.5521528613413,-0.0571846567960791,-0.173618705149991,1,-1.39554375524035,-0.0844522519028352,3.12525572882756,7.08691144894887,-0.432751651157219,1.94762945425998,-0.18115194091707,0,-0.301058221548428,0
0.009,-0.889655316781658,3.11902697920787,4.10357588178428,-0.0834621145428824,-0.209983170166348,0,-2.41522141217069,-0.050891903345788,0.919117669092279,5.03046839853407,0.589561901998623,5.27424359400983,-0.204546975316202,0,-0.321156156267,0
0.01,-1.59013518672861,-0.649660696055478,4.76841705202384,-0.0927702748467763,-0.199096576592277,1,-3.71005912682286,-0.0204947554412076,-2.3501490549186,2.07263090692706,0.519628135498886,7.21750829716808,-0.18115194091707,0.022092899914244,-0.301058221548428,-0.0421779020631653
0.011,-2.3304283858361,-3.89419581697409,3.50422384704951,-0.0519088020588627,-0.128570509694194,0,-4.42024256904934,-0.623462468694037,-5.22803169984181,-2.41417430724563,-0.579896080109347,6.89727238995527,-0.18115194091707,0.118471037272238,-0.269646496542401,0.0383561299715787
0.012,-2.61452764146889,-5.5127532575535,0.906821263622346,0.0254537516627948,-0.0209652703344753,1,-4.68868975217738,-0.580136368342735,-7.74233329802236,-2.90770697728985,-2.91025023405461,4.60048755908785,-0.159068182214328,0.167636024325147,-0.22986824555859,0.160023911704875
0.013,-2.12098521749175,-5.00945378531047,-1.98956020112061,0.0976162387487968,0.057964303980711,1,-4.80594918267249,0.303090624419354,-8.03983290736169,-2.21285246947988,-5.13925575808935,1.4423880553736,-0.103242731657142,0.214517177008013,-0.0843558041263306,0.212447296868521
0.014,-0.97615106536251,-2.87943691280497,-4.15409135726848,0.142710126646192,0.0903443706531796,1,-3.71601932670645,1.71499741653601,-5.95588851454928,-0.564742107497901,-7.54497540794343,-0.945439745534032,0.0221446996400323,0.237278494325029,-0.0601600889599982,0.22675907354149
0.015,0.483087030347446,-0.05747838316144,-4.95219451980372,0.139082150000439,0.0755726716121959,1,-2.35814292562545,2.91532804092642,-2.26403790238271,1.43433575910509,-8.31609610425269,-1.40505325153087,-0.0115288999909115,0.253561577992004,-0.0975933954673607,0.234037760743549
0.016,1.75367649643431,2.44266214670293,-4.28691799028556,0.0842898887526068,0.0179978541480113,0,-0.635281400558849,3.97830907927625,1.18217155823845,3.94163966205452,-7.86480176269403,-0.796803917969989,-0.0905795617526088,0.253248003194511,-0.16881779432623,0.186287148923888
0.017,2.37471426370317,3.78485762411964,-2.56953431670188,0.00602912119992202,-0.0352137909336786,0,0.160489002764599,4.50175794660892,2.07414140477886,5.88421090169538,-5.65565725410365,0.429733397708718,-0.163095559625697,0.200884287614734,-0.204941893644181,0.134066173727984
0.018,2.197929163335,3.80659662330926,-0.48241405121783,-0.0619560789073541,-0.072572737822675,1,-0.790514983463713,4.74202906293129,1.89449241793902,6.33579471015136,-3.40963414853956,1.96167830143379,-0.235611750759662,0.158884687159524,-0.236292986204417,0.099957768391837
0.019,1.40085950649266,2.72954742165897,1.31039572049598,-0.133178096569134,-0.0904406710877735,0,-2.11119084635217,5.25008357422048,0.955306919440849,4.8670416783084,-1.44133707313404,3.72024537746288,-0.281986316077248,-0.00546272213757598,-0.239341667073408,0.0655082057937229
0.02,0.00524775447927401,1.02210400406748,2.33538212125653,-0.140616670344702,-0.0809333165944126,1,-3.25263429385548,3.89868731011499,-0.243188965137355,2.13598720949693,-0.645240192223495,5.12702458876395,-0.298067483811252,0.00286525992281057,-0.209818137264585,0.0369970633989662
