points,mean_convergence_time,offline_computation_time,mean_online_computation_time
0.001,0.0249,0.209375,6.6562e-05
0.00125,0.03309475,0.0183008,2.91781658457536e-05
0.0015,0.04079675,0.0165867,6.72192687490257e-05
0.00175,0.0456455,0.0120516,2.26872463768116e-05
0.002,0.049751,0.012404,2.29395810635082e-05
0.00225,0.055886,0.0059639,2.3619839421919e-05
0.0025,0.06070625,0.007362,2.49131627701808e-05
0.00275,0.06422825,0.0145682,8.09807792080662e-05
0.003,0.06781725,0.0158935,8.18518152696209e-05
0.00325,0.07085975,0.0142956,8.55700396593958e-05
0.0035,0.07619975,0.0109917,8.6870833851898e-05
0.00375,0.082055,0.0139651,8.66906681873072e-05
0.004,0.0872875,0.0161659,0.000103222454102123
0.00425,0.09181575,0.0115932,9.37822391739869e-05
0.0045,0.09474525,0.0184092,9.21292627843201e-05
0.00475,0.105462,0.0149849,7.73117763270917e-05
0.005,0.1087275,0.0074552,5.04237315875614e-05
