points,mean_convergence_time,offline_computation_time,mean_online_computation_time
0.001,0.0249,0.041918,1.61943333333333e-05
0.00125,0.03800525,0.0133425,1.31958399965884e-05
0.0015,0.05379375,0.0085143,5.76967933059605e-06
0.00175,0.0737465,0.0098574,6.50122959572843e-06
0.002,0.114037,0.0064296,6.16377534882087e-06
0.00225,0.18171525,0.0065542,5.98209152950618e-06
0.0025,0.22844575,0.0070247,6.23813409792674e-06
0.00275,0.2658335,0.011228,1.90875042827077e-05
0.003,0.2858885,0.0076071,1.81247891083823e-05
0.00325,0.2903795,0.0075927,1.81040592558031e-05
0.0035,0.295492,0.0144276,1.91122401991288e-05
0.00375,0.294835,0.014817,1.89135515899638e-05
0.004,0.29605,0.0135101,2.39367469879518e-05
0.00425,0.29605,0.0107537,1.95181615040838e-05
0.0045,0.29605,0.0055037,1.73205597677044e-05
0.00475,0.29605,0.0065965,7.30159766363169e-06
0.005,0.29605,0.0107576,8.5231496635752e-06
