points,mean_convergence_time,offline_computation_time,mean_online_computation_time
0.001,0.0249,0.0094336,1.38136666666667e-05
0.00125,0.03865875,0.0113214,7.38083969311115e-06
0.0015,0.047194,0.0074101,6.03527030999159e-06
0.00175,0.054541,0.0071199,6.52035145471271e-06
0.002,0.06178875,0.0070402,5.79217948066465e-06
0.00225,0.086045,0.0059029,5.7763544705316e-06
0.0025,0.103884,0.0076398,1.80349940543343e-05
0.00275,0.1377465,0.0114685,1.78867481662592e-05
0.003,0.1661445,0.0166895,1.76415631575375e-05
0.00325,0.2110195,0.0137129,1.73264784113683e-05
0.0035,0.26868475,0.0150645,1.79102299700378e-05
0.00375,0.277822,0.0122053,2.00408558267335e-05
0.004,0.29317675,0.0129388,2.02154694485842e-05
0.00425,0.29405725,0.0126033,1.78329777219957e-05
0.0045,0.2951725,0.0043857,1.68321960618451e-05
0.00475,0.294878,0.0046239,5.84612210815852e-06
0.005,0.29605,0.0157423,1.69814341498048e-05
