points,mean_convergence_time,offline_computation_time,mean_online_computation_time
0.001,0.1179,0.0009787,6.95733333333333e-06
0.00125,0.1179,0.0003869,6.65078146655592e-06
0.0015,0.1179,0.0003263,1.32559560313913e-05
0.00175,0.1179,0.0002624,4.38285278413424e-06
0.002,0.1179,0.0006888,4.45948054686681e-06
0.00225,0.1179,7.05e-05,4.38296266559617e-06
0.0025,0.1179,5.23e-05,4.30137185707988e-06
0.00275,0.1179,0.0001108,1.24095198472908e-05
0.003,0.1179,0.0001404,1.32060277629471e-05
0.00325,0.1179,0.0001013,1.54688673743147e-05
0.0035,0.1179,6.79e-05,8.88202862476665e-06
0.00375,0.1179,5.49e-05,1.21051858312089e-05
0.004,0.1179,0.0001105,1.5585140562249e-05
0.00425,0.1179,0.0001061,1.35981892433348e-05
0.0045,0.1179,0.0001012,1.25781093724794e-05
0.00475,0.1179,0.0001283,1.32424755196702e-05
0.005,0.1179,8.15e-05,6.87725950172761e-06
