points,mean_convergence_time,offline_computation_time,mean_online_computation_time
0.001,0.0249,0.0992734,4.1992e-05
0.00125,0.03055025,0.025311,3.76132715237149e-05
0.0015,0.03478,0.0135066,1.25440477536347e-05
0.00175,0.0391985,0.0089807,1.22574333155831e-05
0.002,0.0397955,0.0115046,1.19714263936175e-05
0.00225,0.05561775,0.0127593,1.19502761335636e-05
0.0025,0.0684845,0.0137595,1.2052007805592e-05
0.00275,0.085793,0.0292559,3.80454311328445e-05
0.003,0.0934535,0.0266343,3.86996199009028e-05
0.00325,0.1227065,0.0729653,3.86888905082893e-05
0.0035,0.161766,0.0355774,3.87187127903811e-05
0.00375,0.173394,0.0331137,4.3130644900598e-05
0.004,0.195738,0.0403737,3.84557888013627e-05
0.00425,0.20973625,0.0454304,3.78620646375903e-05
0.0045,0.22874575,0.0412524,3.84905305700457e-05
0.00475,0.240341,0.0244777,3.68470258853579e-05
0.005,0.24721775,0.0505548,2.86009229676962e-05
