t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,1
0.001,0,0,0,0,0,1
0.002,0,0,0,0,0,1
0.003,0,0,0,0,0,1
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.0137962336805185,-0.457887506053426,1
0.006,-0.182893136586009,3.04971921244283,-7.03030897177736,-0.0549803280531816,-0.345231549953502,1
0.007,-0.7089469262252,2.53352243999464,-5.49553208026882,0.000453382597258883,-0.305475179464766,1
0.008,-0.649507110747224,1.8273728597081,-4.29793668606371,0.00964415959181761,-0.230493989012869,1
0.009,-0.503053903071716,1.36857348569556,-3.42008162782217,0.0122585338268406,-0.175519161422486,1
0.01,-0.342897372960322,1.08042070514041,-2.74719399019303,0.00682982235364364,-0.13740095609743,1
0.011,-0.248085206386281,0.88029592577044,-2.20836759896679,0.00329378016548842,-0.110335829122357,1
0.012,-0.194973181898774,0.718256077734265,-1.7690724808581,0.00177716585777392,-0.0893444760298555,1
0.013,-0.160701604797034,0.578726075170474,-1.41268682655684,0.00148627975812454,-0.0719516030626624,1
0.014,-0.132029720162141,0.461719053275355,-1.12681518333971,0.0014273291324654,-0.0575473420715795,1
0.015,-0.10636859911892,0.367191764013422,-0.899071705064222,0.00126730445692882,-0.0458575130784285,1
0.016,-0.0844949842376909,0.292460039040689,-0.717831766789267,0.00102434128579653,-0.0365409182228375,1
0.017,-0.0669028751802919,0.233491503908381,-0.573324675562814,0.000789265464270588,-0.0291566833810383,1
0.018,-0.053150766377471,0.186634302985274,-0.457893234115847,0.000606976289108342,-0.0232890749174086,1
0.019,-0.0423966994204467,0.149166012812885,-0.365631030818629,0.000476145827762255,-0.0186064349164091,1
0.02,-0.0338820573086881,0.119147953294565,-0.291911458530668,0.000380017287908404,-0.0148611058509082,1
0.021,-0.0270739666923899,0.0951258658794957,-0.23303982084962,0.000304970867849807,-0.0118656473852304,1
0.022,-0.0216161053549179,0.0759352387436417,-0.186041003777766,0.000244158379643372,-0.00947232135010079,1
0.023,-0.0172488097055214,0.0606189313592095,-0.148522971496643,0.000194724490560651,-0.0075616199085947,1
0.024,-0.0137627473234237,0.0483958762488835,-0.118571355749131,0.000155014527947702,-0.00603660641189003,1
0.025,-0.0109832618435856,0.0386386073847525,-0.0946588130436964,0.000123437510363635,-0.00481930359203998,1
0.026,-0.00876682657824311,0.03084788433745,-0.0755675631025413,9.84021550486693e-05,-0.00384746390046793,1
0.027,-0.00699831433582526,0.0246270661290171,-0.0603259652354222,7.85127092914981e-05,-0.00307153508228529,1
0.028,-0.00558658001787981,0.0196601735120389,-0.0481581705901176,6.26634397077753e-05,-0.00245203771349628,1
0.029,-0.00445951135522813,0.0156948158976383,-0.0384444915857266,5.00120481092233e-05,-0.00195746236164463,1
0.03,-0.0035597699295818,0.012529207185097,-0.0306900273310993,3.99109555478057e-05,-0.00156263554589499,1
0.031,-0.00284156997880413,0.0100020829296285,-0.0244996258078055,3.18493815722904e-05,-0.00124744494480946,1
0.032,-0.00226830126330095,0.00798465578801142,-0.0195578267207757,2.54176957767934e-05,-0.000995828278458189,1
0.033,-0.00181070866696415,0.00637411969102116,-0.0156127997445669,2.02865418384084e-05,-0.000794962241947875,1
0.034,-0.00144543813103629,0.00508841437442297,-0.0124635062183003,1.61922796146151e-05,-0.000634610687181514,1
