t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,1
0.001,0,0,0,-0,0,1
0.002,0,0,0,0,0,1
0.003,0,0,0,-0,0,1
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,0.389176284401032,-0.684267724774941,1
0.006,3.65944783734764,1.31912919091615,-7.51525740188487,0.0547808128833874,-0.19326900395325,1
0.007,3.81684923957109,2.50142747972546,-6.4608741593064,-0.0184111217411628,-0.244352803684507,1
0.008,3.26115848125495,2.66202017037955,-5.04111733543881,-0.0879180711557816,-0.222088793143571,1
0.009,2.10139285873101,2.41107460808255,-3.64726582497627,-0.0739653700954765,-0.205796517147579,1
0.01,1.19009400542798,1.79006181796767,-2.49419609284117,-0.0460818959735028,-0.161636981543355,1
0.011,0.634744163906962,1.17717233061023,-1.68027202666509,-0.0194844556182828,-0.114732213367815,1
0.012,0.387366506352502,0.724163143392235,-1.15889642466919,-0.00539892293961101,-0.0756002463480346,1
0.013,0.29844847529621,0.454961414969333,-0.835501210897983,-0.000943269399410251,-0.0491339522470207,1
0.014,0.260746682421404,0.314567411013206,-0.624304862450215,-0.0013443290113073,-0.0332850653921743,1
0.015,0.222964396332062,0.240727905216782,-0.471796733332246,-0.0026697243656977,-0.024169727529329,1
0.016,0.176237519977753,0.191936597310373,-0.352932702359299,-0.0032441163138683,-0.0184449494674964,1
0.017,0.128533885671358,0.150432975073344,-0.258884537500061,-0.00291296758739769,-0.0142123253173564,1
0.018,0.0885478206431308,0.112948241385022,-0.186554611942296,-0.0021380939348936,-0.0107343209856224,1
0.019,0.0597567929558677,0.0812998923028,-0.13322486739429,-0.00136666741512241,-0.00786863878401068,1
0.02,0.0410555012107366,0.0570164616745507,-0.0952573200348851,-0.000815324230033298,-0.00562824325468827,1
0.021,0.0293851352064767,0.0398419836063838,-0.0686704040153583,-0.000500392204140355,-0.00398250798305999,1
0.022,0.0218245754523845,0.0282694032597112,-0.0499723382230938,-0.000346022382306536,-0.0028293370492948,1
0.023,0.0164536348003937,0.020510786998083,-0.0365790413178984,-0.000269689766918335,-0.0020368956326534,1
0.024,0.012320774530278,0.0151278753523574,-0.026792823202413,-0.000219118019745682,-0.00148663767735781,1
0.025,0.00906276150255609,0.0112066734931131,-0.0195612469811557,-0.000173489558511584,-0.00109316947228976,1
0.026,0.00654916440019655,0.00825398919458184,-0.0142174749425247,-0.000130432312184099,-0.000803578319960627,1
0.027,0.00468460039160766,0.00601822446885898,-0.0102986852509068,-9.34390543295997e-05,-0.00058745233308009,1
0.028,0.00334955840943525,0.00435013769176315,-0.00745196205449719,-6.50496417197852e-05,-0.000426607755021298,1
0.029,0.00241174883419504,0.00313213916954434,-0.00539769247912848,-4.51710574998281e-05,-0.000308405927110599,1
0.03,0.00175236664245269,0.0022579851458826,-0.003917813311529,-3.19710673422755e-05,-0.000222730956157752,1
0.031,0.00128135436908212,0.00163495924399014,-0.00284895836090728,-2.32335648765836e-05,-0.000161171338916626,1
0.032,0.00093831676156646,0.00118931317557438,-0.00207349566614432,-1.71994642255628e-05,-0.000116996921236427,1
0.033,0.000685347445445966,0.000867430505476289,-0.00150876366457136,-1.278419930287e-05,-8.514995559474e-05,1
0.034,0.000498469142659252,0.00063270064964864,-0.00109686378842335,-9.43123399607751e-06,-6.20331760601082e-05,1
