t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.187682343864353,-0.233427494771923,0
0.006,-1.84463934559832,4.77282855461057,-6.54822610256278,-0,-0,0
0.007,-1.7016402931502,6.40617120651713,-3.46373201410555,-0,-0,0
0.008,-1.55215203010808,6.55568966052911,0.105802330222093,-0,-0,0
0.009,-1.39230932265387,5.30771528912109,3.36733727242111,-0,-0,1
0.01,-1.23799607979855,3.03708007575579,5.65604542843867,0.0334571566263667,0.123779386417511,0
0.011,-0.786366800604961,1.25742667096543,6.8315095723497,0,0,0
0.012,-0.713231035087133,-1.60031961727187,6.72614350700696,0,0,0
0.013,-0.664625166100657,-3.8912070546547,5.20580045814247,0,0,0
0.014,-0.622227783292438,-5.17555571347289,2.70529094668353,0,0,1
0.015,-0.570577867881683,-5.26186523426635,-0.167825692794233,0.119913224026769,-0.0107880621627185,0
0.016,0.633201912921463,-4.30969438468372,-2.79809781582333,0,0,0
0.017,0.587493173511775,-2.43612584771949,-4.64676351945703,0,0,0
0.018,0.539060287443601,-0.195919193177354,-5.36225950842829,0,0,0
0.019,0.482474621562594,1.90650277019807,-4.88352559952299,0,0,1
0.02,0.423597118606821,3.4363876709099,-3.4076223172655,-0.122258459776823,-0.0829360191827925,0
0.021,-0.789975922335413,3.47569757523782,-1.50516252628503,-0,-0,0
0.022,-0.716969511993456,3.41375571248501,0.390953868240526,-0,-0,0
0.023,-0.644409318460761,2.63431156673612,2.05267234146678,-0,-0,0
0.024,-0.577081463272358,1.35953383020591,3.14703896748366,-0,-0,1
0.025,-0.51982004815393,-0.10123749622962,3.48774827406879,0.0559154761050554,0.0817045485175348,0
0.026,0.0599586055696783,-0.795570076542162,3.23835457922793,0,0,0
0.027,0.0497181765910809,-1.89561205990511,2.49357746833877,0,0,0
0.028,0.0401593906299158,-2.50603880170139,1.28000689086354,0,0,0
0.029,0.0346512109288995,-2.53667968483725,-0.107739679089067,0,0,1
0.03,0.0333259898856946,-2.02741196743495,-1.36170278267363,0.0249798999492744,-0.0336269920171071,0
0.031,0.271502383212029,-1.3880161142649,-2.29905927867834,0,0,0
0.032,0.248016333401418,-0.246519815114378,-2.74440762248281,0,0,0
0.033,0.22342007306467,0.855907019532763,-2.57248457547383,0,0,0
0.034,0.198846090452604,1.68874238621255,-1.86909749935742,0,0,1
