t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.0787910111091904,-0.591080772096706,0
0.006,-0.796991272175865,2.02228163313465,-7.31665163249474,-0,-0,0
0.007,-0.745591912998734,4.4619981331004,-5.52242909355258,-0,-0,0
0.008,-0.699064931857345,5.7626162831091,-2.70308403718387,-0,-0,0
0.009,-0.639861175161498,5.73979625347715,0.462825490619787,-0,-0,1
0.01,-0.567724507542834,4.50394258160513,3.27755803644563,-0.219988344346791,-0.417074196065574,0
0.011,-2.59935603381919,-0.794346387499903,4.27804707114893,-0,-0,0
0.012,-2.35898843061811,-2.28713421758385,3.42360439383996,-0,-0,0
0.013,-2.14299225838461,-3.17839022689696,1.91495251002541,-0,-0,0
0.014,-1.94286294023208,-3.32757295695383,0.12273586766047,-0,-0,1
0.015,-1.75540090996849,-2.76201384225131,-1.5519584646258,0.307783448157105,0.182017763587497,0
0.016,1.3439623275643,-0.253843972653701,-2.37263779049276,0,0,0
0.017,1.21541718446878,0.708641521529102,-2.24382840939044,0,0,0
0.018,1.0972978994339,1.44354226123464,-1.64900752668067,0,0,0
0.019,0.99060746217875,1.81318346677745,-0.751743520300575,0,0,1
0.02,0.895815673403623,1.76846715795312,0.233335384280835,-0.167895606512828,-0.142099834981042,0
0.021,-0.786578610943782,0.2585626382474,0.785226444772123,-0,-0,0
0.022,-0.711651961902795,-0.090925660371866,0.830026082225182,-0,-0,0
0.023,-0.644148034332431,-0.39327229221539,0.695589869445333,-0,-0,0
0.024,-0.583169820720341,-0.58824265141994,0.424687645983377,-0,-0,1
0.025,-0.527854913226448,-0.64313011019286,0.0855601926798494,0.0759393303990691,0.0474092865200233,0
0.026,0.245049912984595,-0.192448575802258,-0.142656698163249,0,0,0
0.027,0.221761506348299,-0.1020116235851,-0.223330429661431,0,0,0
0.028,0.200671347958049,0.00281073823366137,-0.250222439374127,0,0,0
0.029,0.181560616701603,0.0986525384034165,-0.221934692098963,0,0,1
0.03,0.164254166231358,0.165921435250417,-0.148875142573252,-0.0203363911399073,-0.0138585729252194,0
0.031,-0.0449195534977013,0.08594241465014,-0.0798764702479812,-0,-0,0
0.032,-0.0406507461652612,0.100841157807803,-0.0284194901960374,-0,-0,0
0.033,-0.036782462229267,0.0931856046380504,0.0249437777118647,-0,-0,0
0.034,-0.0332777860878463,0.0664006468768441,0.0687559160854019,-0,-0,1
