t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.0795172030674747,-0.59372645375904,0
0.006,-0.803812568563806,2.00188961329843,-7.32233874902741,-0,-0,0
0.007,-0.751674836617483,4.44751690714015,-5.53768854543531,-0,-0,0
0.008,-0.704628846551535,5.75664990970691,-2.7239330405807,-0,-0,0
0.009,-0.645036005849827,5.74293904668391,0.441240579199051,-0,-0,1
0.01,-0.572507796263949,4.51481187673687,3.25986472329428,-0.219635565106675,-0.416170782649247,0
0.011,-2.60027942785762,-0.77172351052648,4.26962429124466,-0,-0,0
0.012,-2.35972092378555,-2.26544478616874,3.42738271793214,-0,-0,0
0.013,-2.1436254670587,-3.16213928757494,1.92915865504368,-0,-0,0
0.014,-1.9434882566612,-3.31975998394981,0.14353611747825,-0,-0,1
0.015,-1.75604565636717,-2.76361809346358,-1.52948502853881,0.307478643464164,0.181510783623874,0
0.016,1.3404615928458,-0.267707444808098,-2.35446536719082,0,0,0
0.017,1.21229658128731,0.690318507309652,-2.2345259669486,0,0,0
0.018,1.09452107344075,1.42500784959041,-1.6498433543596,0,0,0
0.019,0.988107612798085,1.79838974075761,-0.761731725164989,0,0,1
0.02,0.893529737697988,1.76025505877435,0.217044929100571,-0.1671990867147,-0.141391007815122,0
0.021,-0.782038803397257,0.263592488554977,0.76811289546958,-0,-0,0
0.022,-0.707538206183167,-0.0802469921729401,0.817257983449723,-0,-0,0
0.023,-0.640412390100121,-0.379655305299654,0.689520542749671,-0,-0,0
0.024,-0.579779611630629,-0.574803338211533,0.426064963104232,-0,-0,1
0.025,-0.524787149188486,-0.632698244861992,0.0934965131729767,0.0750945138738126,0.0466055366999892,0
0.026,0.239781701403719,-0.193183168199312,-0.13209434114711,0,0,0
0.027,0.216993526805467,-0.106679252026654,-0.214269828581433,0,0,0
0.028,0.196358298747007,-0.00448615830091635,-0.244464146551157,0,0,0
0.029,0.177660320610661,0.090483188651246,-0.22043540684303,0,0,1
0.03,0.160726590862843,0.158680870720179,-0.151612395246503,-0.0196495550708725,-0.0133568104807589,0
0.031,-0.0415753381886422,0.0849539851224573,-0.0848540081081771,-0,-0,0
0.032,-0.0376253214122328,0.101951123921702,-0.0333555642180741,-0,-0,0
0.033,-0.034045452341653,0.0959909466705113,0.0210915967710618,-0,-0,0
0.034,-0.0308013376518914,0.0701714234286896,0.0667170370133516,-0,-0,1
