t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,1,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.00744996618747998,-0.24725925326885,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.0137962336805185,0,-0.457887506053426,0
0.006,-0.128837849767135,4.67155037936139,-6.57779855969883,-0.0703950921199451,-0.282914620710905,1,-0.182893136586009,-0.0653816435015011,3.04971921244283,6.57543914052667,-7.03030897177736,-6.0465906846501,-0.214712712253277,0,-0.736262538358566,0
0.007,-0.812599124174842,4.16215646742808,-4.14844073828655,-0.0602829166639555,-0.272588450141871,0,-2.12630699402064,-0.0928527115649383,2.01805500652572,7.69029161830916,-5.49553208026882,-2.116552812963,-0.35195958075312,0.0675444752852204,-0.83746395660319,-0
0.008,-1.32029470817382,2.89049166800463,-2.21201043213876,-0.0174460512452214,-0.177847823774825,1,-3.43792365954682,-0.196296182788168,0.638567654696878,6.06467010224957,-4.29793668606371,0.149390237055437,-0.26726707054009,0.0750702192656165,-0.66588715032239,0
0.009,-1.36413622019539,1.8385702047839,-0.914299004919777,0.00539996044337641,-0.129684947501154,1,-3.11056822362961,-0.452574843249153,-0.533355442071317,4.80916871358912,-2.92479731630989,1.55103681524121,-0.0541329515477137,0.12668059209426,-0.439900109454645,0
0.01,-1.18373890346873,0.853097642530958,-0.177205081077748,0.0173643811527382,-0.0762327053229563,1,-2.63941194744426,-0.19174236123841,-0.675181170107206,3.68844853031081,-2.0672894180988,2.88605459343463,-0.0395745348283902,0.14418022374993,-0.344759581946157,0
0.011,-0.906554328115074,0.17770247896142,0.103881146837086,0.0163793699184876,-0.0354870011775783,0,-2.22984352504345,-0.0663109169419567,-1.52671587546601,1.94230069512095,-1.52012973569646,2.56990630468737,-0.0155379527683123,0.100568856962476,-0.230746508256299,0.0294466557254295
0.012,-0.665594658143199,-0.167648889838198,0.105267475517305,0.024356323869533,-0.013864198896978,1,-1.67713764410297,0.11168309372874,-2.11379610806705,1.4438582874318,-1.14217000742535,2.71344628977047,-0.00597440337725179,0.107673952221157,-0.131193169966596,0.0503605854067424
