points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.263799053550234,5.9651491,9.2835e-05
0.1,0.267074497709771,8.6193408,0.000109501762972026
0.2,0.27151851710465,5.0949131,7.2142875825134e-05
0.3,0.28222572127495,3.7705744,7.74534742555167e-05
0.4,0.288190585877102,7.6803784,0.00016144128093398
0.5,0.301028293282071,8.1514059,0.000136810522221142
0.6,0.320931302075071,7.4084207,0.000173382022602819
0.7,0.336237342585171,4.3809876,0.00011513277275886
0.8,0.379215013065259,3.2577971,0.000100981009409752
0.9,0.407639900273256,4.6573244,0.000107166458593425
1,0.448333963994816,4.6445009,0.00017535
