points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.264187989946691,1.5089899,0.003795175
0.1,0.2671786491735,3.0935844,0.00843715498025694
0.2,0.271601974153592,5.0595662,0.00693633191555611
0.3,0.282403262435459,3.4040264,0.0159483969363708
0.4,0.288231209221062,5.3238165,0.0160110677793308
0.5,0.301181711453667,1.3318207,0.0120747515802781
0.6,0.321245426963036,5.1359512,0.0114962003961319
0.7,0.336665709161407,2.9948228,0.0071895825990271
0.8,0.380082422638811,2.230256,0.00712989435414884
0.9,0.409189394632062,2.5751891,0.00825359257178526
1,0.447759849376542,3.2632871,0.00669246
