t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,1
0.001,0,0,0,0,0,1
0.002,0,0,0,0,0,1
0.003,0,0,0,0,0,1
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.228108671063502,-0.0924499430961632,1
0.006,-2.23349141142247,5.85717302381205,-6.24520593104322,-0.124771829960501,-0.473582045475754,1
0.007,-3.23505332107331,3.52442113793908,-3.66982278794394,0.028519970117052,-0.352233436240057,1
0.008,-2.66446509121278,1.56843730454973,-2.27443675510326,0.0866648368492947,-0.193613380913118,1
0.009,-1.58869895846564,0.660845490923135,-1.66406627507786,0.0608238088162152,-0.0851915438665574,1
0.01,-0.859727218113745,0.522240391269465,-1.33893410166427,0.0244337069994887,-0.0511497631243891,1
0.011,-0.546136295538696,0.546900150135064,-1.0445731229538,0.00574672875415046,-0.0469569270210917,1
0.012,-0.44001742260668,0.486285137490508,-0.760448122825496,0.00312528326499382,-0.0434271339234609,1
0.013,-0.368716460656031,0.3547942222182,-0.5294746571761,0.00527194205400786,-0.0341001554566483,1
0.014,-0.283610844984521,0.230536233665381,-0.368864737521933,0.00597578786138636,-0.0233834599028112,1
0.015,-0.199824033038216,0.149928632917488,-0.264470975274846,0.00470802172667167,-0.0153056867608455,1
0.016,-0.136039428476519,0.106220141918093,-0.194148809323121,0.00297313894648675,-0.0104838346101094,1
0.017,-0.0948186058894702,0.0806397649417192,-0.14282555051329,0.00176742925729863,-0.00771905348347039,1
0.018,-0.0689862284318392,0.0613130728345976,-0.103836541362691,0.0011775049689481,-0.00584480020041085,1
0.019,-0.0512213586737895,0.0449750989682538,-0.0746506442134587,0.000907785623694162,-0.00434323948096063,1
0.02,-0.0377111268947056,0.0319773199206178,-0.0535247275833231,0.000721521101797926,-0.00312987191840905,1
0.021,-0.0272577077478892,0.0225867759259363,-0.038545859150319,0.00054389037653843,-0.00221995604041201,1
0.022,-0.0194887362163191,0.0161678058932428,-0.0279060664823905,0.000386601572667102,-0.00158163635423317,1
0.023,-0.0139555255810467,0.0117514671286221,-0.0202402464037364,0.000268546363114081,-0.00114219745316277,1
0.024,-0.0100721301438693,0.00858196383747216,-0.0146571059709392,0.000189461204452541,-0.000831984220653166,1
0.025,-0.00731078652728164,0.00623611646494753,-0.010588510288612,0.000137455182538294,-0.000605530450852369,1
0.026,-0.00530707071169797,0.00450016023782763,-0.00764079625025982,0.000101087781081813,-0.000438213498683981,1
0.027,-0.00384008813179063,0.00323779739136529,-0.00551633444513335,7.39599404794891e-05,-0.000315755247325806,1
0.028,-0.00277084882769049,0.00233322810799667,-0.0039867895680981,5.34637128726919e-05,-0.000227441660055612,1
0.029,-0.00199840117777816,0.00168660109693291,-0.00288310810613768,3.8367963257501e-05,-0.000164204110585397,1
0.03,-0.00144311288861592,0.00122122298333122,-0.00208472902573108,2.75600086388525e-05,-0.000118801679996264,1
0.031,-0.00104351656521966,0.000883882386258886,-0.00150674805604305,1.98982999472373e-05,-8.59906342819587e-05,1
0.032,-0.000754856615837908,0.000638868795008092,-0.0010886630257908,1.44207583904589e-05,-6.21863541572294e-05,1
0.033,-0.000545791446809975,0.000461364996306998,-0.000786585794888259,1.04524569121705e-05,-4.49264878331138e-05,1
