t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,1
0.001,0,0,0,0,0,1
0.002,0,0,0,0,0,1
0.003,0,0,0,0,0,1
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.235301966089434,-0.04615120558854,1
0.006,-2.30326278691213,6.21346614024318,-6.14567724607347,-0.124338624529699,-0.520160769839203,1
0.007,-3.293998250067,3.41814862600567,-3.50315951739545,0.0411556289640329,-0.353811483678872,1
0.008,-2.59673305252026,1.40577255539962,-2.18208517955465,0.0969020523415621,-0.18014829853674,1
0.009,-1.42966657037025,0.5965698298559,-1.63386137162658,0.0574044062430108,-0.0713581511358989,1
0.01,-0.748334165577267,0.564873731885501,-1.31428953026479,0.0182066502653716,-0.0485423796656475,1
0.011,-0.504638088036915,0.592346865144021,-0.995679078315153,0.00283836738203734,-0.0493397836301696,1
0.012,-0.430133548979353,0.48622161851769,-0.699240094940626,0.00380707651792946,-0.0441305573120792,1
0.013,-0.353247025205085,0.325788427845752,-0.47637948381845,0.00660053724555548,-0.032075779941099,1
0.014,-0.25694154686869,0.20204421399697,-0.331592777152421,0.00632761804259164,-0.0205234390123479,1
0.015,-0.172330466919387,0.134374271059815,-0.239271740835076,0.00428128215937278,-0.0135120731950577,1
0.016,-0.115217067838818,0.0976495480821198,-0.17556223481901,0.00239545229945136,-0.00907528431159651,1
0.017,-0.0814723065716546,0.0773427694977429,-0.127484752362402,0.0013860320536834,-0.00716280317066863,1
0.018,-0.0605378141435689,0.0570030174235296,-0.0905931181544539,0.0010878800910801,-0.00564120380200767,1
0.019,-0.0444285787671619,0.0379302419581538,-0.0645425074470514,0.000935124900170294,-0.00375630052773693,1
0.02,-0.0313038322217827,0.0268598804145073,-0.046756064752249,0.000665643961457605,-0.002648121805786,1
0.021,-0.0219915208499273,0.0195167614382167,-0.03402237460899,0.000429436601897072,-0.00188825756892359,1
0.022,-0.0158126979065761,0.014476534773682,-0.024687500438905,0.000291285339102641,-0.00139319815842992,1
0.023,-0.0115362818104814,0.0105839646125364,-0.0178063476069047,0.000211740285720008,-0.00102318572163015,1
0.024,-0.00842364505180693,0.00760914092330426,-0.0128114346314549,0.000160511005216205,-0.000740627202628166,1
0.025,-0.00609464808184437,0.00543557665362199,-0.00923016991099384,0.000119206055091987,-0.00053047610356514,1
0.026,-0.00438031289541272,0.00390220749492481,-0.00666651258249278,8.57445128824001e-05,-0.000380103193915264,1
0.027,-0.00314752639287661,0.00282245853893335,-0.00482018457949419,6.07202452883237e-05,-0.000274120562648718,1
0.028,-0.00227018179901725,0.00204704660660676,-0.00348318615546041,4.32908845117045e-05,-0.000198584646620223,1
0.029,-0.00164218431409227,0.00148150312503702,-0.00251438225652736,3.1304615397472e-05,-0.000143836793225463,1
0.03,-0.00118801019947191,0.00106881421389444,-0.0018141785784924,2.27897497034566e-05,-0.000103899029634433,1
0.031,-0.000858084597661076,0.000770166305487098,-0.0013092805166703,1.65420672901979e-05,-7.49045949882983e-05,1
0.032,-0.000619009331390355,0.000555459203665175,-0.000945323566369364,1.19355039879984e-05,-5.40046353166871e-05,1
0.033,-0.000446521917208441,0.000401149323774571,-0.00068267962554359,8.58694057824087e-06,-3.89810252026898e-05,1
