t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,0,0,0
0.006,-0.0653816435015011,6.57543914052667,-6.0465906846501,0,0,0
0.007,-0.0928527115649383,7.69029161830916,-2.116552812963,0,0,0
0.008,-0.0844522519028352,7.08691144894887,1.94762945425998,0,0,0
0.009,-0.050891903345788,5.03046839853407,5.27424359400983,0,0,1
0.01,-0.0204947554412076,2.07263090692706,7.21750829716808,-0.101604561882655,0.205229156414108,0
0.011,-0.974339447417749,0.495176143402228,7.91786422661477,0,0,0
0.012,-0.89153701492044,-2.6385974849509,7.31579735259998,0,0,0
0.013,-0.834593368790453,-4.96394714303629,5.21413520690342,0,0,0
0.014,-0.778774255682729,-6.05328653354093,2.17733962918635,0,0,1
0.015,-0.708261208200955,-5.77472193351876,-1.07729451820248,0.148948117869718,-0.106654077858193,0
0.016,0.793012166819375,-5.11577162880665,-4.07169454792059,0,0,0
0.017,0.740428651257009,-2.60201540955156,-6.18517286031242,0,0,0
0.018,0.678494501716518,0.262402366747943,-6.81776985212879,0,0,0
0.019,0.602111502312993,2.84178714997412,-5.95381417731253,0,0,1
0.02,0.523369442068405,4.6119460358391,-3.89630120217347,-0.101365693683291,-0.0309610968770263,0
0.021,-0.505362491074766,5.02318292801969,-1.24322753285746,-0,-0,0
0.022,-0.456720228549598,4.57541078095444,1.3968446991143,-0,-0,0
0.023,-0.402099800826451,3.19471836919407,3.53004539862788,-0,-0,0
0.024,-0.353255840992277,1.24786805394815,4.74523194063841,-0,-0,1
0.025,-0.318584570376047,-0.807698021695644,4.85846433027575,0.00977202793593947,0.10637781665616,0
0.026,-0.20194338588054,-1.70911635494111,4.16237614140239,0,0,0
0.027,-0.19239328872376,-2.99572026727599,2.86265965292941,0,0,0
0.028,-0.181512954343959,-3.54498250615611,1.06056066974207,0,0,0
0.029,-0.164651962691341,-3.29950036887818,-0.822068944155943,0,0,1
0.03,-0.143680474233578,-2.37477138403543,-2.38003608111193,0.0632194389212159,-0.086490859905437,0
0.031,0.478532939912436,-1.6860872134148,-3.49485243177583,0,0,0
0.032,0.436607403767719,-0.0284840254650065,-3.96019705380694,0,0,0
0.033,0.391738886547856,1.50249484040726,-3.54874135167267,0,0,0
0.034,0.347315558958768,2.59242487578587,-2.41785923615227,0,0,1
0.035,0.308908108865271,3.04559329892583,-0.864838298861598,-0.0724762001056569,0.0181484579103009,0
