t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.146924210088589,-0.146907172983224,1,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.253317603601015,0,-0.25328822928142,0
0.006,-1.45926870929202,5.44012460734264,-6.36233555013158,-0.138706971089965,-0.315651613701993,1,-2.46863520520929,-0.0653816435015011,4.6180002902094,6.57543914052667,-6.5909783837561,-6.0465906846501,-0.340240075595147,-0,-0.556658277519934,-0
0.007,-2.66823390001343,4.44746937398949,-3.64324941292862,-0.0418889220908285,-0.308324399074264,1,-3.3237468744599,-0.0928527115649383,3.14362524682998,7.69029161830916,-4.4584456706093,-2.116552812963,-0.106479063229114,0.0162972002575736,-0.571314130370958,-0
0.008,-2.82231232224835,2.64981073801452,-1.69536353833378,0.0306813571576225,-0.225009045031936,1,-3.28279515430922,-2.49707827603017,1.3001585846701,5.13693441902598,-3.13892049517892,0.489744332510329,-0,0.112453021363517,-0.395955078915201,-0
0.009,-2.26332710048237,1.07901696431352,-0.674416238084608,0.0587457518561351,-0.125119721967119,1,-2.73146481576744,-1.82282985081545,-0.118794076056098,2.56236599151102,-2.44630573259665,2.19786770957605,-0,0.131217280871515,-0.252355651426005,0
0.01,-1.4896883207038,0.175824642200288,-0.332316296422124,0.0600144119723088,-0.0594503153347098,1,-2.31821532432928,-0.691453685036374,-1.47670277216573,1.63934971701459,-2.04206888691844,1.94129703121626,0,0.136341183484213,-0.168180097854514,0.0492559145517192
0.011,-0.777981641678795,-0.186574245534425,-0.336617316593693,0.0390096213856254,-0.0117557641774822,0,-1.53692633037322,-0.0132289090887495,-1.76814078780778,0.983893401820189,-1.71122899422781,1.31641803348409,0,0.107904149217754,-0.0901761605441198,0.106623407884116
0.012,-0.333608371865888,-0.113337666385307,-0.418832583480162,0.0163028964376851,-0.00459176307008089,1,-0.934073198714415,0.539129827677441,-1.13998985857966,0.656467935624402,-1.39219920434174,0.553649484869132,-0.00876098140237232,0.0546217433926713,-0.0656397375078084,0.0793843249353306
0.013,-0.147147284253118,0.0332440100573693,-0.440264695086797,0.00425424529749071,-0.0037286362768966,1,-0.650388211331558,0.658568014525393,-0.67106727258869,0.722092394855234,-1.09961147075573,0.169707511942677,-0.0140719741076769,0.0274139492636124,-0.0656397375078084,0.0468581001715917
0.014,-0.0928289592587327,0.167780698610389,-0.384393726914847,-0.00222720927034643,-0.00955932348853888,1,-0.551433148177731,0.588116981838398,-0.295274296944696,0.60931406184214,-0.800332952589732,0.00731748434180836,-0.0229900270051816,0.0151966740014392,-0.0459657241562697,0.0304583079684686
