t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.0340117570099705,-0.0263211400370415,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.242941121499789,0,-0.188008143121725,0
0.006,-0.388287155434161,6.37181150262111,-6.10315654820266,-0.0608410728450437,-0.0315618902426386,0,-2.37184958587765,-0.0653816435015011,5.12095601262982,6.57543914052667,-6.45063256716834,-6.0465906846501,-0.2794384149146,0,-0.171188241451402,0
0.007,-0.963553236592604,7.30083204690138,-2.33620653554052,-0.0510980412048727,-0.0167884682044031,1,-2.75125075803745,-0.0928527115649383,6.2391503367644,7.69029161830916,-3.20273687099564,-2.116552812963,-0.2794384149146,-0,-0.0799134135541074,0
0.008,-1.36088094250409,6.72365572633672,1.52234584888211,-0.0492827198342826,-0.00728232644478603,0,-3.62048449699395,-0.0844522519028352,6.03800480851299,7.08691144894887,0.461394562672617,1.94762945425998,-0.253234126166331,0,-0.0604315575502454,0.03572687017926
0.009,-1.67910655038675,4.84456401972095,4.70008230414072,-0.0585071069802829,-0.00321288829904649,0,-4.18841304931439,-0.050891903345788,4.32572498490874,5.25238852356868,3.48036201173903,5.27424359400983,-0.242941121499789,0,-0.0799134135541074,0.106004805653879
0.01,-2.05335034530837,2.12467737902372,6.60859770942105,-0.0375819810903539,0.0128766173500766,0,-4.17675515861824,-0.0204947554412076,1.05908315847476,2.85217796138303,5.375320782395,7.29626827131487,-0.2794384149146,0.0360864686483814,-0.0799134135541074,0.1221651046906
0.011,-2.21035119124409,-0.701187001224604,6.98973199181586,-0.0111111440685239,0.0399763604991649,1,-4.03749132259452,-0.0147465863870047,-1.69516608409376,0.245716686487848,6.01322939069952,7.84432415834338,-0.253234126166331,0.144049793869294,0,0.13451678283757
0.012,-2.1197230724703,-2.9440856448094,5.97727578739823,0.0285234308944909,0.0394997646147815,0,-3.82518325480377,-0.201366258589459,-3.77696282158668,-1.92411806630523,5.02185875820679,7.07798126018817,-0.0670053209028339,0.20336171826204,-0,0.13451678283757
